# jours_écoulés 	 nombreTotalContaminésGrippe 	 nombreTotalContaminésAgentPathogène()
442	71	54623
443	117	54594
444	149	54553
445	205	54446
446	281	54468
447	375	54585
448	473	54618
449	612	54693
450	750	54620
451	966	54634
452	1191	54606
453	1410	54640
454	1751	54522
455	2021	54580
456	2372	54499
457	2725	54464
458	3043	54522
459	3432	54549
460	3810	54579
461	4157	54587
462	4553	54626
463	4925	54668
464	5223	54649
465	5521	54658
466	5818	54689
467	6184	54739
468	6498	54642
469	6693	54616
470	6926	54676
471	7151	54669
472	7319	54717
473	7532	54647
474	7538	54670
475	7657	54690
476	7734	54794
477	7759	54891
478	7782	54807
479	7763	54839
480	7680	54763
481	7685	54728
482	7554	54733
483	7485	54702
484	7393	54844
485	7140	54818
486	6911	54868
487	6701	54831
488	6473	54694
489	6257	54751
490	5955	54769
491	5682	54815
492	5357	54747
493	5078	54729
494	4816	54743
495	4526	54688
496	4243	54615
497	3941	54667
498	3720	54667
499	3565	54814
500	3349	54655
501	3156	54622
502	3006	54711
503	2866	54659
504	2776	54525
505	2678	54558
506	2609	54519
507	2603	54624
508	2465	54511
509	2397	54484
510	2222	54578
511	2100	54515
512	2019	54587
513	1941	54555
514	1848	54499
515	1667	54521
516	1604	54579
517	1495	54541
518	1390	54386
519	1240	54465
520	1125	54526
521	992	54436
522	897	54346
523	781	54351
524	701	54370
525	607	54384
526	546	54338
527	476	54339
528	375	54371
529	290	54378
530	237	54350
531	200	54315
532	148	54408
533	118	54390
534	91	54382
535	74	54421
536	54	54254
537	45	54254
538	32	54245
539	23	54231
540	17	54330
541	12	54401
542	10	54358
543	8	54395
544	8	54534
545	7	54659
546	7	54707
547	4	54674
548	3	54730
549	2	54686
550	1	54712
551	1	54703
552	1	54798
553	0	54910
554	1	54854
555	1	54820
556	1	54827
557	1	54761
558	1	54661
559	1	54763
560	0	54779
561	0	54767
562	0	54792
563	0	54738
564	0	54708
565	0	54731
566	0	54795
567	0	54723
568	0	54686
569	0	54624
570	0	54500
571	0	54518
572	0	54633
573	0	54639
574	0	54439
575	0	54515
576	0	54454
577	0	54466
578	0	54413
579	0	54438
580	0	54527
581	0	54496
582	0	54453
583	0	54408
584	0	54424
585	0	54374
586	0	54297
587	0	54314
588	0	54162
589	0	54248
590	0	54273
591	0	54257
592	0	54202
593	0	54170
594	0	54046
595	0	53976
596	0	53949
597	0	53951
598	0	53998
599	0	53962
600	0	54045
601	0	54043
602	0	54004
603	0	53906
604	0	54000
605	0	54003
606	0	54097
607	0	54057
608	0	54012
609	0	53999
610	0	54075
611	0	54137
612	0	54121
613	0	54192
614	0	54279
615	0	54173
616	0	54179
617	0	54118
618	0	54130
619	0	54194
620	0	54128
621	0	54138
622	0	54221
623	0	54172
624	0	54129
625	0	54132
626	0	54124
627	0	54094
628	0	54074
629	0	54150
630	0	54128
631	0	54308
632	0	54262
633	0	54279
634	0	54250
635	0	54348
636	0	54445
637	0	54509
638	0	54510
639	0	54469
640	0	54399
641	0	54505
642	0	54465
643	0	54463
644	0	54370
645	0	54368
646	0	54429
647	0	54501
648	0	54460
649	0	54422
650	0	54473
651	0	54489
652	0	54489
653	0	54615
654	0	54607
655	0	54606
656	0	54578
657	0	54580
658	0	54532
659	0	54552
660	0	54574
661	0	54510
662	0	54505
663	0	54502
664	0	54405
665	0	54442
666	0	54378
667	0	54394
668	0	54360
669	0	54379
670	0	54484
671	0	54507
672	0	54400
673	0	54421
674	0	54468
675	0	54555
676	0	54564
677	0	54553
678	0	54674
679	0	54700
680	0	54720
681	0	54694
682	0	54579
683	0	54555
684	0	54493
685	0	54519
686	0	54371
687	0	54343
688	0	54357
689	0	54431
690	0	54424
691	0	54488
692	0	54572
693	0	54476
694	0	54485
695	0	54434
696	0	54383
697	0	54286
698	0	54313
699	0	54307
700	0	54349
701	0	54319
702	0	54206
703	0	54170
704	0	54152
705	0	54068
706	0	54120
707	0	54011
708	0	54007
709	0	53990
710	0	54003
711	0	54027
712	0	54043
713	0	54112
714	0	54162
715	0	54193
716	0	54182
717	0	54251
718	0	54206
