# jours_écoulés 	 nombreTotalContaminésGrippe 	 nombreTotalContaminésAgentPathogène() 	 temps pas 	 temps total
495	5876	54267	0.0226037	8.93931
496	5606	54278	0.0166862	8.9562
497	5226	54418	0.0176163	8.974
498	4910	54416	0.0194767	8.99371
499	4614	54503	0.0163602	9.01026
500	4251	54600	0.0172381	9.02769
501	4011	54567	0.0222736	9.0502
502	3667	54613	0.0168365	9.06731
503	3359	54654	0.0165908	9.0841
504	3065	54666	0.0210421	9.10537
505	2778	54605	0.0162097	9.12179
506	2421	54634	0.0174582	9.13943
507	2164	54629	0.0200635	9.15978
508	1919	54697	0.0160578	9.17603
509	1663	54797	0.0168822	9.19309
510	1419	54834	0.0214993	9.21478
511	1234	54888	0.0185113	9.23382
512	1030	54855	0.0169348	9.25098
513	852	54869	0.0205399	9.27178
514	718	54904	0.016525	9.28851
515	588	54953	0.0175243	9.30623
516	503	54951	0.0197362	9.32622
517	427	54963	0.0164292	9.34285
518	370	55036	0.016984	9.36002
519	295	55022	0.0186551	9.37885
520	244	54953	0.0178973	9.39695
521	208	54938	0.0171702	9.41432
522	176	54884	0.0208934	9.43539
523	130	54917	0.0163134	9.45198
524	93	54844	0.01671	9.46888
525	73	54819	0.020547	9.48978
526	60	54797	0.0160246	9.506
527	48	54796	0.0172935	9.52347
528	32	54707	0.0189886	9.5427
529	21	54692	0.0159372	9.55883
530	18	54642	0.0176617	9.57667
531	17	54612	0.0213407	9.59826
532	11	54622	0.0158972	9.61438
533	8	54630	0.0164242	9.63101
534	5	54714	0.0197795	9.65099
535	0	54729	0.0198424	9.67115
536	0	54683	0.0170879	9.68843
537	0	54693	0.0196851	9.70841
538	0	54768	0.0160586	9.72467
539	0	54691	0.0163586	9.74122
540	0	54583	0.0189102	9.76033
541	0	54624	0.0178414	9.77837
542	0	54634	0.0164855	9.79508
543	0	54692	0.0234197	9.81874
544	0	54787	0.0160325	9.835
545	0	54666	0.0162937	9.85149
546	0	54690	0.0210074	9.87274
547	0	54677	0.0160384	9.889
548	0	54694	0.017412	9.90662
549	0	54668	0.0195909	9.92647
550	0	54708	0.0162601	9.94293
551	0	54691	0.0167252	9.95984
552	0	54634	0.0243539	9.98447
553	0	54583	0.0163513	10.0011
554	0	54515	0.017105	10.0184
555	0	54550	0.0223827	10.0411
556	0	54543	0.0166767	10.058
557	0	54552	0.0170614	10.0752
558	0	54529	0.0189156	10.0944
559	0	54628	0.0180987	10.1127
560	0	54617	0.016494	10.1293
561	0	54638	0.0181184	10.1477
562	0	54579	0.0181799	10.1666
563	0	54568	0.0167396	10.1836
564	0	54558	0.0232247	10.2072
565	0	54421	0.0180987	10.2255
566	0	54432	0.0168364	10.2426
567	0	54366	0.0186722	10.2615
568	0	54415	0.0182234	10.2799
569	0	54400	0.0166554	10.2967
570	0	54383	0.0224658	10.3194
571	0	54403	0.0166386	10.3363
572	0	54389	0.0174006	10.354
573	0	54371	0.0205494	10.375
574	0	54317	0.018474	10.3937
575	0	54418	0.0165436	10.4104
576	0	54384	0.0208959	10.4315
577	0	54368	0.020823	10.4528
578	0	54260	0.0182129	10.4712
579	0	54239	0.0205879	10.4922
580	0	54313	0.0164251	10.5088
581	0	54361	0.0163581	10.5254
582	0	54542	0.0207721	10.5463
583	0	54532	0.0185134	10.5651
584	0	54512	0.0165577	10.5819
585	0	54552	0.0202851	10.6024
586	0	54434	0.0158956	10.6186
587	0	54448	0.0167182	10.6355
588	0	54376	0.0209367	10.6568
589	0	54437	0.0160233	10.673
590	0	54400	0.0172852	10.6905
591	0	54393	0.0189438	10.7097
592	0	54451	0.0159478	10.7258
593	0	54509	0.0174742	10.7435
594	0	54527	0.0202933	10.764
595	0	54572	0.0163009	10.7805
596	0	54601	0.0162994	10.7969
597	0	54660	0.020841	10.818
598	0	54623	0.016143	10.8344
599	0	54715	0.0163274	10.8509
600	0	54693	0.0215041	10.8726
601	0	54686	0.0161747	10.889
602	0	54700	0.0176453	10.9068
603	0	54737	0.019699	10.9268
604	0	54782	0.0165422	10.9435
605	0	54740	0.0164717	10.9602
606	0	54712	0.0203919	10.9808
607	0	54662	0.0187391	10.9997
