# jours_écoulés 	 nombreTotalContaminésGrippe 	 nombreTotalContaminésAgentPathogène() 	 temps pas 	 temps total
171	14	66637	0.0089301	1.82735
172	9	66611	0.007145	1.83537
173	6	66599	0.008252	1.8444
174	4	66535	0.0094548	1.85482
175	4	66545	0.0105599	1.86651
176	2	66513	0.0096046	1.87705
177	0	66583	0.0083019	1.88604
178	0	66537	0.0087657	1.89576
179	0	66666	0.0092299	1.9061
180	0	66582	0.0108893	1.91814
181	0	66626	0.0092936	1.92816
182	0	66668	0.0081977	1.93712
183	0	66708	0.0081798	1.94666
184	0	66699	0.0094858	1.95724
185	0	66638	0.0100856	1.96942
186	0	66625	0.0096209	1.97986
187	0	66510	0.0076846	1.98829
188	0	66531	0.008237	1.99754
189	0	66485	0.0092009	2.00754
190	0	66445	0.0095063	2.01872
191	0	66420	0.0095635	2.02876
192	0	66462	0.0076177	2.037
193	0	66407	0.0095438	2.04749
194	0	66368	0.0099371	2.0587
195	0	66316	0.0091848	2.06893
196	0	66361	0.0097021	2.07919
197	0	66330	0.0087104	2.08889
198	0	66299	0.0098726	2.09975
199	0	66260	0.0090009	2.11012
200	0	66356	0.0092639	2.12053
201	0	66405	0.0110618	2.13254
202	0	66403	0.0094743	2.14291
203	0	66339	0.0087935	2.15251
204	0	66421	0.009263	2.16281
205	0	66527	0.0080288	2.17153
206	0	66412	0.010673	2.18308
207	0	66410	0.0087916	2.19279
208	0	66445	0.0092296	2.20326
209	0	66434	0.0083314	2.21245
210	0	66366	0.0078418	2.2213
211	0	66304	0.0098218	2.23328
212	0	66250	0.0128649	2.24717
213	0	66303	0.0184036	2.26697
214	0	66326	0.0076613	2.27567
215	0	66290	0.0105833	2.28695
216	0	66314	0.0082659	2.29597
217	0	66201	0.0071761	2.30394
218	0	66290	0.0077627	2.31238
219	0	66310	0.0059784	2.31914
220	0	66228	0.0071752	2.3272
221	0	66266	0.0078879	2.33576
222	0	66244	0.008951	2.34505
223	0	66332	0.0068257	2.35262
224	0	66314	0.0108217	2.3643
225	0	66376	0.0088857	2.37397
226	0	66324	0.009341	2.38463
227	0	66453	0.0084537	2.39369
228	0	66483	0.0075125	2.40193
229	0	66543	0.0083139	2.41111
230	0	66540	0.0086412	2.42049
231	0	66465	0.0097761	2.43135
232	0	66490	0.0078399	2.44003
233	0	66530	0.0096527	2.45051
234	0	66399	0.0087433	2.46015
235	0	66443	0.007789	2.46868
236	0	66466	0.0103168	2.4808
237	0	66509	0.0083625	2.49035
238	0	66561	0.0091668	2.50144
239	0	66541	0.0089377	2.51171
240	0	66531	0.0099294	2.52234
241	0	66516	0.0104337	2.53383
242	0	66582	0.0101332	2.54445
243	0	66668	0.0075274	2.5527
244	0	66638	0.0098181	2.56362
245	0	66607	0.0092301	2.57402
246	0	66576	0.0090586	2.58501
247	0	66701	0.009025	2.59475
248	0	66571	0.0078835	2.60324
249	0	66567	0.0093103	2.61386
250	0	66588	0.0104128	2.62553
